id;idAnalyse;temps;distance
1;1;5,66;14,36548223
2;1;6,69;16,50870406
3;1;7,6;18,2688588
4;1;8,46;19,93230174
5;1;9,34;21,6344294
6;1;10,31;23,5106383
7;1;11,24;25,29277219
8;1;12,14;26,93961574
9;1;13,06;28,62305581
10;1;13,99;30,32479414
11;1;15;32,17291857
12;1;15,91;33,83806038
13;1;16,86;35,57639524
14;1;17,83;37,35132662
15;1;18,78;39,08966148
16;1;19,78;40,91948765
17;1;20,89;42,95059469
19;1;21,76;44,54254346
20;1;22,76;46,5560166
21;1;23,8;48,71369295
22;2;5,44;13,57737105
23;2;6,4;15,72625698
24;2;7,33;17,45810056
25;2;8,28;19,22718808
26;2;9,21;20,95903166
27;2;10,16;22,72811918
28;2;11,06;24,40409683
29;2;12,12;26,33936652
30;2;13,04;28,00452489
31;2;14,02;29,77828054
32;2;15;31,5520362
33;2;15,98;33,32579186
34;2;16,93;35,04524887
35;2;17,94;36,87330317
36;2;18,95;38,70135747
37;2;19,89;40,40271493
38;2;20,85;42,14027149
39;2;21,96;44,14932127
40;2;22,96;46,01145038
41;2;23,92;47,84351145
42;2;24,92;49,7519084
43;3;5,11;12,99152542
44;3;6,08;15,33962264
45;3;7,04;17,1509434
46;3;8,05;19,05660377
47;3;9,04;20,9245283
48;3;10,15;23,01886792
49;3;11,2;25
50;3;12,23;26,90212373
51;3;13,26;28,80424746
52;3;14,26;30,65096953
53;3;15,33;32,62696214
54;3;16,38;34,56602031
55;3;17,33;36,32040628
56;3;18,41;38,31486611
57;3;19,46;40,25392428
58;3;20,58;42,322253
59;3;21,62;44,24284395
60;3;22,73;46,31086142
61;3;23,81;48,33333333
62;3;24,68;49,96254682
63;4;5,08;12,7
64;4;5,96;14,9
65;4;7,07;17,0458891
66;4;8,07;18,95793499
67;4;9,07;20,86998088
68;4;10,06;22,76290631
69;4;11,03;24,61759082
70;4;12,14;26,7218543
71;4;13,13;28,59508042
72;4;14,11;30,44938505
73;4;15,2;32,51182592
74;4;16,19;34,38505203
75;4;17,15;36,20151372
76;4;18,16;38,11258278
77;4;19,13;39,94796594
78;4;20,12;41,82119205
79;4;21,14;43,75118259
80;4;22,12;45,58394161
81;4;23,12;47,40875912
82;4;24,2;49,37956204
83;5;4,96;13,19148936
84;5;5,94;15,59760956
85;5;6,99;17,68924303
86;5;7,99;19,6812749
87;5;8,99;21,67330677
88;5;9,96;23,60557769
89;5;10,92;25,49618321
90;5;11,89;27,34732824
91;5;12,85;29,17938931
92;5;13,81;31,01145038
93;5;14,79;32,88167939
94;5;15,74;34,69465649
95;5;16,74;36,60305344
96;5;17,72;38,47328244
97;5;18,73;40,40076336
98;5;19,81;42,46183206
99;5;20,78;44,3129771
100;5;21,82;46,28787879
101;5;22,86;48,25757576
102;5;23,77;49,98106061
103;6;4,97;12,76541096
104;6;5,84;15
105;6;6,93;17,1541502
106;6;8;19,2687747
107;6;9,04;21,32411067
108;6;10,22;23,65612648
109;6;11,14;25,45155221
110;6;12,21;27,46472248
111;6;13,3;29,51552211
112;6;14,41;31,60395108
113;6;15,5;33,65475071
114;6;16,52;35,5738476
115;6;17,62;37,6434619
116;6;18,72;39,7130762
117;6;19,9;41,9332079
118;6;21,03;44,05926623
119;6;22,1;46,01785714
120;6;23,52;48,55357143
121;7;5,64;13,77850163
122;7;6,6;15,87452471
123;7;7,5;17,58555133
124;7;8,43;19,35361217
125;7;9,32;21,04562738
126;7;10,23;22,7756654
127;7;11,06;24,35361217
128;7;12,1;26,34357006
129;7;12,97;28,0134357
130;7;13,86;29,72168906
131;7;14,75;31,42994242
132;7;15,72;33,29174664
133;7;16,66;35,09596929
134;7;17,57;36,84261036
135;7;18,52;38,66602687
136;7;19,43;40,41266795
137;7;20,3;42,08253359
138;7;21,31;44,02111324
139;7;22,18;45,63157895
140;7;23,12;47,28070175
141;7;24,13;49,05263158
142;8;6,09;13,61400894
143;8;6,67;14,91058122
144;8;7,31;16,08695652
145;8;7,97;17,2826087
146;8;8,54;18,31521739
147;8;9,17;19,45652174
148;8;9,79;20,57971014
149;8;10,37;21,63043478
150;8;11,01;22,78985507
151;8;11,65;23,94927536
153;8;12,29;25,10273973
154;8;12,98;26,28424658
155;8;13,6;27,34589041
156;8;14,21;28,39041096
157;8;14,87;29,52054795
158;8;15,53;30,65068493
159;8;16,18;31,76369863
160;8;16,83;32,87671233
161;8;17,49;34,00684932
162;8;18,15;35,1369863
163;8;18,76;36,18150685
164;8;19,49;37,43150685
165;8;20,15;38,56164384
166;8;20,81;39,69178082
167;8;21,52;40,90753425
168;8;22,2;42,07191781
169;8;22,91;43,28767123
170;8;23,63;44,52054795
171;8;24,29;45,59748428
172;8;25,05;46,79245283
173;8;25,69;47,79874214
174;8;33,31;62,73109244
175;8;33,98;63,85714286
176;8;34,61;64,91596639
177;8;35,32;66,10183639
178;8;36;67,23706177
179;8;36,7;68,40567613
180;8;37,35;69,49081803
181;8;38,1;70,74290484
182;8;38,76;71,84474124
183;8;39,53;73,13021703
184;8;40,25;74,33222037
185;8;40,95;75,48387097
186;8;41,56;76,46774194
187;8;42,35;77,74193548
188;8;43,08;78,91935484
189;8;43,81;80,09677419
190;8;44,58;81,33870968
191;8;45,33;82,5483871
192;8;46,02;83,66129032
193;8;46,78;84,88709677
194;8;47,54;86,11290323
195;8;48,28;87,30645161
196;8;48,96;88,40322581
197;8;49,7;89,59677419
198;8;50,43;90,77419355
199;8;51,21;92,03225806
200;8;51,99;93,29032258
201;8;52,76;94,53225806
202;8;53,47;95,67524116
203;8;54,25;96,92926045
204;8;54,97;98,08681672
205;8;55,69;99,24437299
206;9;6,22;14,39814815
207;9;6,84;15,66176471
208;9;7,5;16,875
209;9;8,08;17,94117647
210;9;8,7;19,08088235
211;9;9,33;20,23897059
212;9;9,94;21,36029412
213;9;10,52;22,42647059
214;9;11,14;23,56617647
215;9;11,68;24,55882353
216;9;12,32;25,71174377
217;9;12,86;26,67259786
218;9;13,49;27,79359431
219;9;14,06;28,80782918
220;9;14,69;29,92882562
221;9;15,3;31,01423488
222;9;15,96;32,1886121
223;9;16,5;33,14946619
224;9;17,19;34,3772242
225;9;17,79;35,44483986
226;9;18,44;36,60142349
227;9;18,98;37,56227758
228;9;19,62;38,70106762
229;9;20,21;39,75088968
230;9;20,85;40,88967972
231;9;21,42;41,90391459
232;9;22,05;43,02491103
233;9;22,73;44,23487544
234;9;23,36;45,31847134
235;9;23,98;46,30573248
236;9;24,74;47,51592357
237;9;32,12;62,19672131
238;9;32,76;63,24590164
239;9;33,42;64,32786885
240;9;34,08;65,42444822
241;9;34,73;66,52801358
242;9;35,39;67,64855688
243;9;36,07;68,80305603
244;9;36,71;69,88964346
245;9;37,37;71,01018676
246;9;38,06;72,18166384
247;9;38,68;73,23429542
248;9;39,35;74,37181664
249;9;40,02;75,49875312
250;9;40,61;76,47963425
251;9;41,27;77,57689111
252;9;41,94;78,69077307
253;9;42,55;79,70490441
254;9;43,22;80,81878637
255;9;43,91;81,96591854
256;9;44,56;83,04655029
257;9;45,16;84,04405653
258;9;45,84;85,17456359
259;9;46,49;86,25519534
260;9;47,17;87,38570241
261;9;47,81;88,44970906
262;9;48,49;89,58021613
263;9;49,14;90,66084788
264;9;49,82;91,79135495
265;9;50,43;92,80548628
266;9;51,06;93,85286783
267;9;51,74;94,9833749
268;9;52,41;96,09271523
269;9;53,12;97,26821192
270;9;53,8;98,39403974
271;10;6,06;13,79362671
272;10;6,6;15,01795332
273;10;7,31;16,29263914
274;10;7,89;17,33393178
275;10;8,48;18,39317774
276;10;9,17;19,63195691
277;10;9,89;20,92459605
278;10;10,55;22,10951526
279;10;11,22;23,31238779
280;10;11,92;24,56912029
281;10;12,68;25,84278768
282;10;13,37;26,96110211
283;10;14,15;28,22528363
284;10;14,81;29,29497569
285;10;15,59;30,55915721
286;10;16,29;31,69367909
287;10;17,1;33,00648298
288;10;17,8;34,14100486
289;10;18,59;35,42139384
290;10;19,33;36,62074554
291;10;20,17;37,9821718
292;10;20,92;39,19773096
293;10;21,76;40,55915721
294;10;22,46;41,69367909
295;10;23,38;43,18476499
296;10;24,12;44,38411669
297;10;24,97;45,69940476
298;10;25,66;46,72619048
299;10;26,32;47,70833333
303;10;33,63;62,84853701
304;10;34,09;63,64027539
306;10;34,74;64,75903614
307;10;35,28;65,72727273
308;10;35,92;66,89090909
309;10;36,56;68,05454545
310;10;37,2;69,21818182
311;10;37,8;70,30909091
312;10;38,4;71,4
313;10;38,96;72,41818182
314;10;39,53;73,45454545
315;10;40,16;74,6
316;10;40,82;75,77192982
317;10;41,39;76,77192982
318;10;42,01;77,85964912
319;10;42,61;78,9122807
320;10;43,2;79,94736842
