id;idAnalyse;distanceDebut;tpsDebut;tpsDebutCycles;nbCycles;tpsFinCycles;distanceFin;tpsFin
1;1;5;-1;5,66;0;5,91;15;5,91
2;1;15;5,91;5,91;6;11,08;25;11,08
3;1;25;11,08;11,08;11;22,01;45;22,01
4;2;5;-1;5,44;1;6,01;15;6,01
5;2;15;6,01;6,01;6;11,38;25;11,38
6;2;25;11,38;11,38;11;22,43;45;22,43
7;3;5;-1;5,11;1;5,9;15;5,9
8;3;15;5,9;5,9;5;11,2;25;11,2
9;3;25;11,2;11,2;10;22,03;45;22,03
10;4;5;-1;5,08;1;6;15;6
11;4;15;6;6;5;11,23;25;11,23
12;4;25;11,23;11,23;10;21,8;45;21,8
13;5;5;-1;4,96;1;5,64;15;5,64
14;5;15;5,64;5,64;5;10,66;25;10,66
15;5;25;10,66;10,66;11;21,14;45;21,14
16;6;5;-1;4,97;1;5,84;15;5,84
17;6;15;5,84;5,84;5;10,9;25;10,9
18;6;25;10,9;10,9;10;21,53;45;21,53
19;7;5;-1;5,64;1;6,14;15;6,14
20;7;15;6,14;6,14;6;11,4;25;11,4
21;7;25;11,4;11,4;11;21,82;45;21,82
22;8;5;-1;6,09;1;6,71;15;6,71
23;8;15;6,71;6,71;4;12,23;25;12,23
24;8;25;12,23;12,23;9;23,91;45;23,91
25;8;55;28,71;33,31;1;34,66;65;34,66
26;8;65;34,66;34,66;4;40,65;75;40,65
27;8;75;40,65;40,65;8;53,05;95;53,05
28;9;5;-1;6,22;0;6,48;15;6,48
29;9;15;6,48;6,48;4;11,92;25;11,92
30;9;25;11,92;11,92;9;23,16;45;23,16
31;9;55;27,73;32,12;1;33,83;65;33,83
32;9;65;33,83;33,83;4;39,72;75;39,72
33;9;75;39,72;39,72;9;51,75;95;51,75
34;10;5;-1;6,06;0;6,59;15;6,59
35;10;15;6,59;6,59;4;12,16;25;12,16
36;10;25;12,16;12,16;8;24,5;45;24,5
37;10;55;29,07;33,63;1;34,88;65;34,88
38;10;65;34,88;34,88;5;40,38;75;40,38
39;10;75;40,38;40,38;9;51,78;95;51,78
40;11;5;-1;6,96;1;7,65;15;7,65
41;11;15;7,65;7,65;5;13,6;25;13,6
42;11;25;13,6;13,6;11;26,51;45;26,51
43;11;55;32,25;34,35;4;39,86;65;39,86
44;11;65;39,86;39,86;5;47,34;75;47,34
45;11;75;47,34;47,34;9;62,63;95;62,63
46;11;105;68,84;71,98;4;77,88;115;77,88
47;11;115;77,88;77,88;5;86,25;125;86,25
48;11;125;86,25;86,25;9;102,76;145;102,76
49;11;155;110,12;110,22;4;116,44;165;116,44
50;11;165;116,44;116,44;5;123,02;175;123,02
51;11;175;123,02;123,02;9;136,36;195;136,36
64;13;5;-1;4,86;3;7,96;15;7,96
65;13;15;7,96;7,96;6;14,38;25;14,38
66;13;25;14,38;14,38;11;27,92;45;27,92
67;13;55;34,5;35,59;4;41,84;65;41,84
68;13;65;41,84;41,84;6;49,26;75;49,26
69;13;75;49,26;49,26;10;64,61;95;64,61
