id;idAnalyse;distanceDebut;tpsFinCoulee;tpsFinPremierMvt;nbCycles;tpsFinDernierMvt;distanceFin;tpsPassage
804;316;0;6.6;-1;0;30.1;50;31.93
805;316;50;35.69;-1;0;65.3;100;67.09
806;316;100;70.15;-1;0;103.3;150;105.07
807;316;150;107.76;-1;0;141.68;200;142.51
808;317;0;5.57;-1;0;26.79;50;28.22
809;317;50;31;-1;0;57.18;100;58.68
810;317;100;61.09;-1;0;88.45;150;89.96
811;317;150;92.42;-1;0;121.54;200;121.78
812;318;0;4.62;-1;0;26.6;50;27.74
813;318;50;30.95;-1;0;56.48;100;57.96
814;318;100;60.64;-1;0;87.96;150;89.5
815;318;150;92.11;-1;0;120.24;200;120.79
816;319;0;-1;-1;0;-1;50;27.13
817;319;50;-1;-1;0;-1;100;56.51
818;319;100;-1;-1;0;-1;150;87.02
819;319;150;-1;-1;0;-1;200;117.64
820;320;0;-1;-1;0;-1;50;27.24
821;320;50;-1;-1;0;-1;100;56.83
822;320;100;-1;-1;0;-1;150;87.88
823;320;150;-1;-1;0;-1;200;120.18
824;321;0;4.58;-1;0;27.02;50;28.26
825;321;50;30.6;-1;0;57.22;100;58.55
826;321;100;60.44;-1;0;88.1;150;89.9
827;321;150;91.93;-1;0;120.24;200;120.73
828;322;0;-1;-1;0;-1;50;28.34
829;322;50;-1;-1;0;-1;100;59.33
830;322;100;-1;-1;0;-1;150;92.53
831;322;150;-1;-1;0;-1;200;125.35
832;323;0;-1;-1;0;-1;50;29.11
833;323;50;-1;-1;0;-1;100;59.77
834;323;100;-1;-1;0;-1;150;91.36
835;323;150;-1;-1;0;-1;200;123.03
836;324;0;6.85;-1;0;30.01;50;30.14
837;324;50;34.24;-1;0;64.83;100;64.9
838;324;100;68.87;-1;0;102.11;150;103.39
839;324;150;106.3;-1;0;139.87;200;140.46
840;324;200;145.07;-1;0;180.59;250;182.12
841;324;250;187.13;-1;0;222.68;300;223.52
842;324;300;226.43;-1;0;255.73;350;256.93
843;324;350;259.27;-1;0;288.17;400;288.56
844;325;0;6.8;-1;0;29.48;50;29.69
845;325;50;34.06;-1;0;64.1;100;64.24
846;325;100;68.08;-1;0;101.06;150;102.59
847;325;150;105.36;-1;0;139.28;200;139.86
848;325;200;144.41;-1;0;180.17;250;181.47
849;325;250;186.49;-1;0;221.88;300;222.55
850;325;300;225.58;-1;0;254.24;350;255.39
851;325;350;257.6;-1;0;286.04;400;286.46
852;326;0;6.02;-1;0;27.24;50;27.51
853;326;50;32.56;-1;0;59.22;100;59.57
854;326;100;64.37;-1;0;93.44;150;94.69
855;326;150;98.1;-1;0;129.56;200;129.7
856;326;200;134.94;-1;0;165.46;250;166.7
857;326;250;171.86;-1;0;204.22;300;205.52
858;326;300;208.43;-1;0;236.04;350;237.35
859;326;350;239.55;-1;0;268.16;400;268.32
860;327;0;5.29;-1;0;27.26;50;27.72
861;327;50;32.71;-1;0;59.14;100;59.24
862;327;100;64.08;-1;0;93.4;150;94.99
863;327;150;98.25;-1;0;128.97;200;130.02
864;327;200;135;-1;0;164.9;250;167.21
865;327;250;172.37;-1;0;203.63;300;205.3
866;327;300;208.38;-1;0;235.96;350;237.58
867;327;350;239.62;-1;0;268.32;400;269.25
868;328;0;6.02;-1;0;26.8;50;27.38
869;328;50;31.85;-1;0;59.54;100;59.68
870;328;100;64.8;-1;0;92.22;150;93.78
871;328;150;97.57;-1;0;126.47;200;126.77
872;328;200;132.72;-1;0;163.03;250;163.46
873;328;250;169.75;-1;0;200.04;300;200.67
874;328;300;204.47;-1;0;230.9;350;232.26
875;328;350;234.96;-1;0;261.82;400;262.1
876;329;0;5.41;-1;0;26.86;50;27.09
877;329;50;31.21;-1;0;58.22;100;59.02
878;329;100;63.63;-1;0;90.94;150;92.5
879;329;150;95.86;-1;0;124.16;200;124.99
880;329;200;130.29;-1;0;160.88;250;162.1
881;329;250;168.13;-1;0;198.35;300;199.71
882;329;300;203.36;-1;0;230.8;350;232.29
883;329;350;234.69;-1;0;261.78;400;262.11
884;330;0;5.37;-1;0;27.07;50;27.21
885;330;50;32.49;-1;0;58.08;100;58.8
886;330;100;63.42;-1;0;91.76;150;93.22
887;330;150;96.78;-1;0;126.26;200;127.3
888;330;200;132.3;-1;0;163.83;250;164.4
889;330;250;169.85;-1;0;200.62;300;201.74
890;330;300;205.06;-1;0;232;350;233.67
891;330;350;236.36;-1;0;261.94;400;262.48
892;331;0;5.94;-1;0;26.73;50;27.55
893;331;50;32.8;-1;0;57.94;100;58.67
894;331;100;64.34;-1;0;91.58;150;93.13
895;331;150;97.64;-1;0;125.32;200;125.9
896;331;200;131.97;-1;0;161.03;250;162.55
897;331;250;168.28;-1;0;199.1;300;200.23
898;331;300;204.17;-1;0;230.05;350;231.61
899;331;350;234.56;-1;0;261.18;400;262.22
900;332;0;4.1;-1;0;25.89;50;27.11
901;332;50;29.59;-1;0;54.95;100;56.25
902;332;100;58.63;-1;0;84.79;150;85.85
903;332;150;88.42;-1;0;114.13;200;115.47
904;332;200;117.85;-1;0;143.73;250;144.96
905;332;250;147.41;-1;0;172.95;300;174.34
906;332;300;176.51;-1;0;202.29;350;203.68
907;332;350;205.89;-1;0;231.93;400;232.31
908;333;0;3.93;-1;0;26.25;50;27.57
909;333;50;29.88;-1;0;55.27;100;56.85
910;333;100;58.81;-1;0;84.98;150;86.37
911;333;150;88.45;-1;0;114.83;200;115.92
912;333;200;117.87;-1;0;144.11;250;145.34
913;333;250;147.23;-1;0;173.77;300;175.11
914;333;300;176.98;-1;0;203.41;350;204.78
915;333;350;206.65;-1;0;233.25;400;233.55
916;334;0;4.39;-1;0;26.23;50;27.66
917;334;50;29.49;-1;0;55.86;100;57.41
918;334;100;59.35;-1;0;86.07;150;87.4
919;334;150;89.29;-1;0;115.72;200;116.91
920;334;200;118.92;-1;0;145.53;250;146.68
921;334;250;148.39;-1;0;175.15;300;176.51
922;334;300;178.21;-1;0;204.41;350;205.92
923;334;350;207.57;-1;0;234.43;400;234.71
924;335;0;3.83;-1;0;26.22;50;27.37
925;335;50;29.5;-1;0;55.52;100;57.05
926;335;100;58.9;-1;0;85.88;150;86.95
927;335;150;88.74;-1;0;115.58;200;116.98
928;335;200;118.82;-1;0;145.07;250;146.51
929;335;250;148.18;-1;0;174.72;300;176.43
930;335;300;178.24;-1;0;204.64;350;205.97
931;335;350;207.63;-1;0;234.18;400;234.81
932;336;0;3.65;-1;0;26.35;50;27.71
933;336;50;29.77;-1;0;55.67;100;56.91
934;336;100;59.02;-1;0;85.12;150;86.62
935;336;150;88.53;-1;0;115.4;200;116.72
936;336;200;118.65;-1;0;144.35;250;146.12
937;336;250;148.05;-1;0;174.55;300;175.94
938;336;300;177.83;-1;0;203.87;350;205.32
939;336;350;207.15;-1;0;234.2;400;234.7
940;337;0;4.41;-1;0;25;50;26.72
941;337;50;29.33;-1;0;53.84;100;55.48
942;337;100;57.76;-1;0;83.8;150;85.13
943;337;150;87.34;-1;0;113.68;200;115.07
944;337;200;117.32;-1;0;143.08;250;144.57
945;337;250;146.67;-1;0;172.86;300;174.14
946;337;300;176.2;-1;0;201.78;350;203.19
947;337;350;205.21;-1;0;230.89;400;231.37
948;338;0;4.03;-1;0;25.61;50;26.99
949;338;50;29.37;-1;0;54.84;100;56.09
950;338;100;58.61;-1;0;83.99;150;85.27
951;338;150;87.69;-1;0;113.68;200;114.89
952;338;200;117.19;-1;0;143.11;250;144.5
953;338;250;146.67;-1;0;173.34;300;174.49
954;338;300;177.03;-1;0;202.73;350;204.01
955;338;350;206.33;-1;0;232.16;400;232.66
956;339;0;5.36;-1;0;25.24;50;26.25
957;339;50;32.14;-1;0;54.16;100;55.5
958;339;100;61.84;-1;0;83.67;150;84.94
959;339;150;91.25;-1;0;113.5;200;114.84
960;339;200;121.09;-1;0;143.28;250;144.5
961;339;250;150.51;-1;0;172.7;300;174.14
962;339;300;179.32;-1;0;202.22;350;203.67
963;339;350;208.83;-1;0;230.5;400;231.01
964;340;0;5.4;-1;0;24.84;50;26.25
965;340;50;28.99;-1;0;53.48;100;54.99
966;340;100;58.18;-1;0;83.08;150;84.58
967;340;150;87.88;-1;0;112.7;200;114.28
968;340;200;117.43;-1;0;142.44;250;144.17
969;340;250;147;-1;0;172.64;300;174.4
970;340;300;178.23;-1;0;202.18;350;203.82
971;340;350;207.41;-1;0;231;400;231.47
972;341;0;5.16;-1;0;25.5;50;26.72
973;341;50;29.59;-1;0;53.88;100;55.33
974;341;100;57.55;-1;0;83.6;150;84.95
975;341;150;87.18;-1;0;113.5;200;114.83
976;341;200;117.47;-1;0;143.16;250;144.57
977;341;250;147.3;-1;0;172.92;300;174.44
978;341;300;176.56;-1;0;203;350;204.56
979;341;350;206.66;-1;0;232.86;400;233.53
980;342;0;-1;-1;0;-1;50;-1
981;342;50;-1;-1;0;-1;100;-1
982;342;100;-1;-1;0;-1;150;-1
983;342;150;-1;-1;0;-1;200;-1
984;342;200;-1;-1;0;-1;250;-1
985;342;250;-1;-1;0;-1;300;-1
986;342;300;-1;-1;0;-1;350;-1
987;342;350;-1;-1;0;-1;400;-1
988;343;0;-1;-1;0;-1;50;28.84
989;343;50;-1;-1;0;-1;100;59.97
990;343;100;-1;-1;0;-1;150;91.79
991;343;150;-1;-1;0;-1;200;122.8
992;344;0;5.74;-1;0;27.66;50;28.82
993;344;50;32.24;-1;0;58.77;100;59.9
994;344;100;63.1;-1;0;89.82;150;91.7
995;344;150;94.46;-1;0;123.66;200;123.73
