id;idAnalyse;distanceDebut;tpsDebut;tpsDebutCycles;nbCycles;tpsFinCycles;distanceFin;tpsFin
1909;280;55;36.43;41.01;2;44.79;65;44.79
1910;280;65;44.79;44.79;4;52.63;75;52.63
1911;280;75;52.63;52.63;8;68.13;95;68.13
1912;280;105;74.55;78.58;2;82.94;115;82.94
1913;280;115;82.94;82.94;4;90.57;125;90.57
1914;280;125;90.57;90.57;9;106.89;145;106.89
1915;280;155;112.78;117.1;2;121.2;165;121.2
1916;280;165;121.2;121.2;5;129.35;175;129.35
1917;280;175;129.35;129.35;9;145.63;195;145.63
1918;281;5;-1;4.99;2;6.94;15;6.94
1919;281;15;6.94;6.94;4;12.78;25;12.78
1920;281;25;12.78;12.78;9;25.07;45;25.07
1921;281;55;30.02;31.54;4;36.68;65;36.68
1922;281;65;36.68;36.68;5;43;75;43
1923;281;75;43;43;9;55.58;95;55.58
1924;281;105;61.13;61.91;4;67.46;115;67.46
1925;281;115;67.46;67.46;5;73.63;125;73.63
1926;281;125;73.63;73.63;10;86.71;145;86.71
1927;281;155;92.19;92.68;4;98.65;165;98.65
1928;281;165;98.65;98.65;5;105.19;175;105.19
1929;281;175;105.19;105.19;10;118.23;195;118.23
1930;282;5;-1;4.93;2;6.98;15;6.98
1931;282;15;6.98;6.98;4;12.59;25;12.59
1932;282;25;12.59;12.59;9;24.92;45;24.92
1933;282;55;30.32;30.51;4;36.45;65;36.45
1934;282;65;36.45;36.45;4;42.74;75;42.74
1935;282;75;42.74;42.74;9;55.36;95;55.36
1936;282;105;60.98;60.98;4;67.3;115;67.3
1937;282;115;67.3;67.3;5;73.53;125;73.53
1938;282;125;73.53;73.53;9;86.62;145;86.62
1939;282;155;92.12;92.31;4;98.47;165;98.47
1940;282;165;98.47;98.47;4;104.93;175;104.93
1941;282;175;104.93;104.93;9;117.66;195;117.66
1942;283;5;-1;5.03;2;6.99;15;6.99
1943;283;15;6.99;6.99;4;12.75;25;12.75
1944;283;25;12.75;12.75;9;24.93;45;24.93
1945;283;55;30.1;31.12;4;36.41;65;36.41
1946;283;65;36.41;36.41;4;42.67;75;42.67
1947;283;75;42.67;42.67;9;55.27;95;55.27
1948;283;105;60.68;60.97;5;67.13;115;67.13
1949;283;115;67.13;67.13;5;73.66;125;73.66
1950;283;125;73.66;73.66;10;86.89;145;86.89
1951;283;155;92.49;92.6;5;99.22;165;99.22
1952;283;165;99.22;99.22;5;106.03;175;106.03
1953;283;175;106.03;106.03;11;119.57;195;119.57
1954;284;5;-1;5.39;1;6.58;15;6.58
1955;284;15;6.58;6.58;4;12.12;25;12.12
1956;284;25;12.12;12.12;9;24.13;45;24.13
1957;284;55;29.02;30.52;4;35.47;65;35.47
1958;284;65;35.47;35.47;5;41.74;75;41.74
1959;284;75;41.74;41.74;9;53.95;95;53.95
1960;284;105;59.06;60.42;4;65.66;115;65.66
1961;284;115;65.66;65.66;5;71.82;125;71.82
1962;284;125;71.82;71.82;10;84.96;145;84.96
1963;284;155;90.1;91.54;4;96.94;165;96.94
1964;284;165;96.94;96.94;5;103.54;175;103.54
1965;284;175;103.54;103.54;9;116.74;195;116.74
1966;285;5;-1;5.38;1;6.79;15;6.79
1967;285;15;6.79;6.79;5;12.33;25;12.33
1968;285;25;12.33;12.33;10;24.2;45;24.2
1969;285;55;29.22;31.97;3;35.95;65;35.95
1970;285;65;35.95;35.95;5;41.96;75;41.96
1971;285;75;41.96;41.96;10;54.37;95;54.37
1972;285;105;59.71;62.18;4;66.49;115;66.49
1973;285;115;66.49;66.49;5;72.64;125;72.64
1974;285;125;72.64;72.64;10;85.23;145;85.23
1975;285;155;91.1;93.01;4;97.99;165;97.99
1976;285;165;97.99;97.99;5;104.36;175;104.36
1977;285;175;104.36;104.36;11;117.46;195;117.46
1978;286;5;-1;5.51;1;6.26;15;6.26
1979;286;15;6.26;6.26;5;12;25;12
1980;286;25;12;12;10;24.2;45;24.2
1981;286;55;29.47;32.27;3;35.81;65;35.81
1982;286;65;35.81;35.81;5;42.22;75;42.22
1983;286;75;42.22;42.22;10;55.05;95;55.05
1984;286;105;60.39;63.57;3;66.72;115;66.72
1985;286;115;66.72;66.72;5;72.84;125;72.84
1986;286;125;72.84;72.84;11;86.23;145;86.23
1987;286;155;91.82;94.45;3;98.41;165;98.41
1988;286;165;98.41;98.41;6;105.04;175;105.04
1989;286;175;105.04;105.04;11;118.77;195;118.77
1990;287;5;-1;6.1;0;6.17;15;6.17
