id,idAnalyse,distanceDebut,tpsDebut,tpsDebutCycles,nbCycles,tpsFinCycles,distanceFin,tpsFin,TRIAL311
727,79,55.0,27.45,29.58,3,33.41,65.0,33.41,T
728,79,65.0,33.41,33.41,4,39.05,75.0,39.05,T
729,79,75.0,39.05,39.05,9,50.57,95.0,50.57,T
730,80,5.0,-1.0,5.47,2,7.33,15.0,7.33,T
731,80,15.0,7.33,7.33,6,13.3,25.0,13.3,T
732,80,25.0,13.3,13.3,11,25.51,45.0,25.51,T
733,80,55.0,31.49,33.71,4,38.47,65.0,38.47,T
734,80,65.0,38.47,38.47,5,45.22,75.0,45.22,T
735,80,75.0,45.22,45.22,10,58.97,95.0,58.97,T
736,80,105.0,65.21,68.25,3,73.19,115.0,73.19,T
737,80,115.0,73.19,73.19,5,81.07,125.0,81.07,T
738,80,125.0,81.07,81.07,10,96.84,145.0,96.84,T
739,80,155.0,104.0,104.35,5,110.05,165.0,110.05,T
740,80,165.0,110.05,110.05,5,116.31,175.0,116.31,T
741,80,175.0,116.31,116.31,10,129.21,195.0,129.21,T
742,81,5.0,-1.0,5.53,1,6.53,15.0,6.53,T
743,81,15.0,6.53,6.53,4,12.19,25.0,12.19,T
744,81,25.0,12.19,12.19,9,23.79,45.0,23.79,T
745,81,55.0,28.84,30.12,4,35.01,65.0,35.01,T
746,81,65.0,35.01,35.01,4,41.07,75.0,41.07,T
747,81,75.0,41.07,41.07,9,53.17,95.0,53.17,T
748,81,105.0,58.52,59.73,4,64.89,115.0,64.89,T
749,81,115.0,64.89,64.89,5,71.2,125.0,71.2,T
750,81,125.0,71.2,71.2,9,83.71,145.0,83.71,T
751,81,155.0,89.01,90.07,4,95.43,165.0,95.43,T
752,81,165.0,95.43,95.43,5,101.82,175.0,101.82,T
753,81,175.0,101.82,101.82,10,114.49,195.0,114.49,T
754,82,5.0,-1.0,3.54,3,6.96,15.0,6.96,T
755,82,15.0,6.96,6.96,4,12.87,25.0,12.87,T
756,82,25.0,12.87,12.87,9,24.93,45.0,24.93,T
757,82,55.0,30.26,30.7,4,36.4,65.0,36.4,T
758,82,65.0,36.4,36.4,4,42.68,75.0,42.68,T
759,82,75.0,42.68,42.68,9,55.2,95.0,55.2,T
760,82,105.0,60.78,60.84,5,67.0,115.0,67.0,T
761,82,115.0,67.0,67.0,4,73.44,125.0,73.44,T
762,82,125.0,73.44,73.44,9,86.38,145.0,86.38,T
763,82,155.0,92.34,92.34,5,98.68,165.0,98.68,T
764,82,165.0,98.68,98.68,5,105.14,175.0,105.14,T
765,82,175.0,105.14,105.14,11,118.36,195.0,118.36,T
766,83,5.0,-1.0,4.66,1,6.52,15.0,6.52,T
767,83,15.0,6.52,6.52,4,12.67,25.0,12.67,T
768,83,25.0,12.67,12.67,9,25.09,45.0,25.09,T
769,83,55.0,30.22,32.25,3,36.9,65.0,36.9,T
770,83,65.0,36.9,36.9,4,43.3,75.0,43.3,T
771,83,75.0,43.3,43.3,9,55.98,95.0,55.98,T
772,83,105.0,61.36,62.72,4,67.88,115.0,67.88,T
773,83,115.0,67.88,67.88,5,74.22,125.0,74.22,T
774,83,125.0,74.22,74.22,9,86.9,145.0,86.9,T
775,83,155.0,92.41,93.28,4,98.71,165.0,98.71,T
776,83,165.0,98.71,98.71,5,105.02,175.0,105.02,T
777,83,175.0,105.02,105.02,9,117.66,195.0,117.66,T
778,84,5.0,-1.0,4.45,2,6.41,15.0,6.41,T
779,84,15.0,6.41,6.41,5,12.2,25.0,12.2,T
780,84,25.0,12.2,12.2,9,24.18,45.0,24.18,T
781,84,55.0,29.62,30.12,4,35.54,65.0,35.54,T
782,84,65.0,35.54,35.54,4,41.62,75.0,41.62,T
783,84,75.0,41.62,41.62,9,53.96,95.0,53.96,T
784,84,105.0,59.69,60.09,4,65.71,115.0,65.71,T
785,84,115.0,65.71,65.71,5,72.14,125.0,72.14,T
786,84,125.0,72.14,72.14,10,85.18,145.0,85.18,T
787,84,155.0,91.0,91.2,5,97.35,165.0,97.35,T
788,84,165.0,97.35,97.35,5,103.8,175.0,103.8,T
789,84,175.0,103.8,103.8,10,117.08,195.0,117.08,T
790,85,5.0,-1.0,4.83,1,5.37,15.0,5.37,T
791,85,15.0,5.37,5.37,5,9.89,25.0,9.89,T
792,85,25.0,9.89,9.89,9,19.49,45.0,19.49,T
793,86,5.0,-1.0,4.58,1,5.48,15.0,5.48,T
794,86,15.0,5.48,5.48,5,10.21,25.0,10.21,T
795,86,25.0,10.21,10.21,10,19.86,45.0,19.86,T
796,87,5.0,-1.0,-1.0,-1,-1.0,15.0,5.93,T
797,87,15.0,5.93,6.03,6,11.29,25.0,11.29,T
798,87,25.0,11.29,11.29,12,22.67,45.0,22.67,T
799,88,5.0,-1.0,6.12,0,6.32,15.0,6.32,T
800,88,15.0,6.32,6.32,5,11.98,25.0,11.98,T
801,88,25.0,11.98,11.98,11,23.58,45.0,23.58,T
802,89,5.0,-1.0,-1.0,-1,-1.0,15.0,5.71,T
803,89,15.0,5.71,6.27,4,10.95,25.0,10.95,T
804,89,25.0,10.95,10.95,9,21.9,45.0,21.9,T
805,89,55.0,26.49,31.75,0,32.27,65.0,32.27,T
806,89,65.0,32.27,32.27,5,37.69,75.0,37.69,T
807,89,75.0,37.69,37.69,10,49.55,95.0,49.55,T
808,90,5.0,-1.0,6.26,2,8.23,15.0,8.23,T
809,90,15.0,8.23,8.23,7,14.91,25.0,14.91,T
810,90,25.0,14.91,14.91,14,28.9,45.0,28.9,T
811,91,5.0,-1.0,6.14,0,6.33,15.0,6.33,T
812,91,15.0,6.33,6.33,9,11.7,25.0,11.7,T
813,91,25.0,11.7,11.7,17,22.86,45.0,22.86,T
814,91,55.0,27.54,30.04,5,33.48,65.0,33.48,T
815,91,65.0,33.48,33.48,9,39.1,75.0,39.1,T
816,91,75.0,39.1,39.1,18,50.66,95.0,50.66,T
817,92,5.0,-1.0,4.69,1,5.25,15.0,5.25,T
818,92,15.0,5.25,5.25,5,9.75,25.0,9.75,T
819,92,25.0,9.75,9.75,10,19.43,45.0,19.43,T
820,93,5.0,-1.0,4.51,1,5.5,15.0,5.5,T
821,93,15.0,5.5,5.5,5,9.99,25.0,9.99,T
822,93,25.0,9.99,9.99,10,19.69,45.0,19.69,T
823,94,5.0,-1.0,5.75,0,6.09,15.0,6.09,T
824,94,15.0,6.09,6.09,6,11.4,25.0,11.4,T
825,94,25.0,11.4,11.4,12,22.69,45.0,22.69,T
826,95,5.0,-1.0,6.22,0,6.32,15.0,6.32,T
827,95,15.0,6.32,6.32,5,11.82,25.0,11.82,T
828,95,25.0,11.82,11.82,11,23.26,45.0,23.26,T
829,96,5.0,-1.0,6.19,1,6.89,15.0,6.89,T
