h;idAnalyse;distanceDebut;tpsFinCoulee;tpsFinPremierMvt;nbCycles;tpsFinDernierMvt;distanceFin;tpsPassage
234;75;150;91.64;-1;0;119.39;200;119.54
235;76;0;4.33;-1;0;25.75;50;27.01
236;76;50;30.26;-1;0;55.09;100;56.27
237;76;100;59.46;-1;0;84.06;150;85.37
238;76;150;88.58;-1;0;113.58;200;114.83
239;76;200;118.01;-1;0;143;250;144.16
240;76;250;147.14;-1;0;172.34;300;173.63
241;76;300;176.87;-1;0;202;350;203.22
242;76;350;206.22;-1;0;231.86;400;233.21
243;76;400;236.32;-1;0;261.99;450;263.23
244;76;450;266.26;-1;0;292.2;500;293.51
245;76;500;296.5;-1;0;322.3;550;323.54
246;76;550;326.47;-1;0;352.8;600;354
247;76;600;357.01;-1;0;382.74;650;383.97
248;76;650;386.72;-1;0;413.24;700;414.67
249;76;700;417.46;-1;0;443.24;750;444.55
250;76;750;447.91;-1;0;472.7;800;473.07
251;77;0;6.45;-1;0;26.38;50;27.77
252;77;50;34.18;-1;0;55.85;100;57.2
253;77;100;63.61;-1;0;85.59;150;86.84
254;77;150;93.61;-1;0;116.33;200;116.63
255;78;0;6.37;-1;0;26.35;50;27.52
256;78;50;33.37;-1;0;56.17;100;57.59
257;78;100;62.88;-1;0;86.33;150;87.55
258;78;150;91.31;-1;0;116.97;200;117.06
259;79;0;5.89;-1;0;24.75;50;25.86
260;79;50;29.58;-1;0;52.97;100;53.34
261;80;0;5.47;-1;0;28.47;50;28.63
262;80;50;33.71;-1;0;61.85;100;62.32
263;80;100;68.25;-1;0;100.15;150;100.61
264;80;150;104.35;-1;0;131.99;200;132.12
265;81;0;5.53;-1;0;25.65;50;27.02
266;81;50;30.12;-1;0;55.12;100;56.68
267;81;100;59.73;-1;0;85.53;150;87.13
268;81;150;90.07;-1;0;117.15;200;117.31
269;82;0;3.54;-1;0;26.9;50;28.16
270;82;50;30.7;-1;0;57.49;100;58.56
271;82;100;60.84;-1;0;88.94;150;90.02
272;82;150;92.16;-1;0;121.32;200;121.47
273;83;0;-1;-1;0;-1;50;28.39
274;83;50;-1;-1;0;-1;100;59.48
