id;idCompetition;longueurBassin;distance;style;round;dateCourse;manche;barrage;rang
1;1;50;4;1;1;20210517;0;0;
2;1;50;1;4;1;20210517;0;0;
3;1;50;1;2;1;20210517;0;0;
4;1;50;2;3;1;20210517;0;0;
5;1;50;2;1;1;20210517;0;0;
6;1;50;8;4;1;20210517;0;0;
7;1;50;4;4;1;20210517;0;0;
8;1;50;1;4;2;20210517;0;0;
9;1;50;1;2;2;20210517;0;0;
10;1;50;2;1;2;20210517;0;0;
11;1;50;8;4;3;20210517;0;0;
12;1;50;2;4;1;20210518;0;0;
13;1;50;3;1;1;20210518;0;0;
14;1;50;6;4;1;20210518;0;0;
15;1;50;2;4;2;20210518;0;0;
16;1;50;2;1;3;20210518;0;0;
17;1;50;3;1;2;20210518;0;0;
18;1;50;3;5;1;20210519;0;0;
19;1;50;3;4;1;20210519;0;0;
20;1;50;2;2;1;20210519;0;0;
21;1;50;9;4;1;20210519;0;0;
22;1;50;3;3;1;20210519;0;0;
23;1;50;2;4;3;20210519;0;0;
24;1;50;2;2;2;20210519;0;0;
25;1;50;3;4;2;20210519;0;0;
26;1;50;9;4;3;20210519;0;0;
27;1;50;3;4;1;20210520;0;0;
28;1;50;6;4;3;20210519;0;0;
29;1;50;1;1;1;20210520;0;0;
30;1;50;8;5;1;20210520;0;0;
31;1;50;2;2;3;20210520;0;0;
32;1;50;3;4;2;20210520;0;0;
33;1;50;1;1;2;20210520;0;0;
34;1;50;3;4;3;20210520;0;0;
35;1;50;2;4;1;20210521;0;0;
36;1;50;1;3;1;20210521;0;0;
37;1;50;3;5;1;20210521;0;0;
38;1;50;3;2;1;20210521;0;0;
39;1;50;9;4;1;20210521;0;0;
40;1;50;5;4;1;20210521;0;0;
41;1;50;3;2;2;20210521;0;0;
42;1;50;2;4;2;20210521;0;0;
43;1;50;3;5;2;20210521;0;0;
44;1;50;9;4;3;20210521;0;0;
45;1;50;1;4;1;20210522;0;0;
46;1;50;1;1;1;20210522;0;0;
47;1;50;1;3;1;20210522;0;0;
48;1;50;2;1;1;20210522;0;0;
49;1;50;2;1;3;20210522;0;0;
50;1;50;2;4;3;20210522;0;0;
51;1;50;1;4;2;20210522;0;0;
52;1;50;1;1;2;20210522;0;0;
53;1;50;3;2;3;20210522;0;0;
54;1;50;3;5;3;20210522;0;0;
55;1;50;4;5;1;20210523;0;0;
56;1;50;8;5;1;20210523;0;0;
57;1;50;5;4;3;20210522;0;0;
58;1;50;1;4;3;20210523;0;0;
59;1;50;1;1;3;20210523;0;0;
60;1;50;8;5;3;20210523;0;0;
61;1;50;1;2;3;20210518;0;0;
62;1;50;1;4;3;20210518;0;0;
63;1;50;1;1;3;20210521;0;0;
64;1;50;1;3;3;20210522;0;0;
65;1;50;1;3;3;20210523;0;0;
66;1;50;1;2;3;20210519;0;0;
67;1;50;2;3;3;20210518;0;0;
68;1;50;2;1;3;20210529;0;0;
69;1;50;3;5;3;20210520;0;0;
70;1;50;3;3;3;20210520;0;0;
71;1;50;3;4;3;20210521;0;0;
72;1;50;3;4;3;20210522;0;0;
73;1;50;3;1;3;20210519;0;0;
74;1;50;4;5;3;20210517;0;0;
75;1;50;4;5;3;20210523;0;0;
76;2;50;2;4;2;20210708;0;0;
77;2;50;2;4;3;20210710;0;0;
78;2;50;1;4;2;20210713;0;0;
79;2;50;1;4;3;20210714;0;0;
80;2;50;2;4;1;20210719;0;0;
81;2;50;3;4;2;20210710;0;0;
82;2;50;3;4;3;20210713;0;0;
83;2;50;3;4;1;20210718;0;0;
84;2;50;1;4;1;20210716;0;0;
85;2;50;8;4;1;20210707;0;0;
86;2;50;8;4;3;20210708;0;0;
87;3;50;4;4;1;20210724;0;0;
88;3;50;4;5;1;20210724;0;0;
89;3;50;2;1;1;20210724;0;0;
90;3;50;8;4;1;20210724;0;0;
91;3;50;2;3;1;20210724;0;0;
92;3;50;4;5;3;20210725;0;0;
93;3;50;2;1;2;20210725;0;0;
94;3;50;8;4;3;20210725;0;0;
95;3;50;2;2;1;20210725;0;0;
96;3;50;3;4;1;20210725;0;0;
97;3;50;8;4;1;20210725;0;0;
98;3;50;2;1;3;20210726;0;0;
99;3;50;2;2;2;20210726;0;0;
100;3;50;8;4;3;20210726;0;0;
101;3;50;3;4;1;20210726;0;0;
102;3;50;3;1;1;20210726;0;0;
103;3;50;3;5;1;20210726;0;0;
104;3;50;3;4;2;20210727;0;0;
105;3;50;3;1;2;20210727;0;0;
106;3;50;3;5;2;20210727;0;0;
107;3;50;2;4;1;20210727;0;0;
108;3;50;3;3;1;20210727;0;0;
109;3;50;9;4;1;20210727;0;0;
110;3;50;2;4;2;20210728;0;0;
111;3;50;3;3;2;20210728;0;0;
112;3;50;2;4;1;20210728;0;0;
113;3;50;3;2;1;20210728;0;0;
114;3;50;3;5;1;20210728;0;0;
115;3;50;9;4;1;20210728;0;0;
116;3;50;2;4;2;20210729;0;0;
117;3;50;3;2;2;20210729;0;0;
118;3;50;2;4;3;20210729;0;0;
119;3;50;9;4;3;20210729;0;0;
120;3;50;2;1;1;20210729;0;0;
121;3;50;2;1;2;20210730;0;0;
122;3;50;1;4;1;20210730;0;0;
123;3;50;8;5;1;20210730;0;0;
124;3;50;1;4;2;20210731;0;0;
125;3;50;1;4;3;20210801;0;0;
126;3;50;1;4;2;20210801;0;0;
127;3;50;2;3;3;20210727;0;0;
128;3;50;2;3;3;20210726;0;0;
129;3;50;2;2;3;20210727;0;0;
130;3;50;2;4;3;20210730;0;0;
131;3;50;2;1;3;20210731;0;0;
