id;idCourse;idNageur
1;7;6
2;2;15
3;3;23
4;3;26
5;4;7
6;4;33
7;5;34
8;6;32
9;6;5
10;6;24
11;6;20
12;3;35
13;8;15
14;9;23
15;10;34
16;11;34
17;11;5
18;11;32
19;11;20
20;12;3
21;12;14
22;12;28
23;13;19
24;14;17
25;15;14
26;16;34
27;17;19
28;18;4
29;19;5
30;20;23
31;20;26
32;20;31
33;21;1
34;21;29
35;21;13
36;21;27
37;22;19
38;19;32
39;22;33
40;23;14
41;24;23
42;24;31
43;25;5
44;26;27
45;26;29
46;26;31
47;26;1
48;27;1
49;27;13
50;27;27
51;27;29
52;28;17
53;29;14
54;29;18
55;30;23
56;30;7
57;30;34
58;30;32
59;31;23
60;31;31
61;32;1
62;32;27
63;33;14
64;33;18
65;34;5
66;35;34
67;36;7
68;37;11
69;38;16
70;38;23
71;38;31
72;39;12
73;39;8
74;39;30
75;39;32
76;40;6
77;41;16
78;41;23
79;42;34
80;43;11
81;44;5
82;44;30
83;44;8
84;44;32
85;45;18
86;45;14
87;46;15
88;46;34
89;47;10
90;48;22
91;50;34
92;51;14
93;51;18
94;52;15
95;52;34
96;53;16
97;53;23
98;54;11
99;55;21
100;56;23
101;56;7
102;56;22
103;56;14
104;56;9
105;56;10
106;56;34
107;56;32
108;57;6
109;58;14
110;59;15
111;58;18
112;60;23
113;60;7
114;60;22
115;60;14
116;61;40
117;61;39
118;61;36
119;61;35
120;61;38
121;61;37
122;61;41
123;61;42
124;62;48
125;62;47
126;62;45
127;62;44
128;62;43
129;62;46
130;62;49
131;62;50
132;63;214
133;63;213
134;63;212
135;63;211
136;63;210
137;63;209
138;63;208
139;63;207
140;59;206
141;59;205
142;59;204
143;59;203
144;59;43
145;59;202
146;59;201
147;64;200
148;64;199
149;64;198
150;64;197
151;64;196
152;64;195
153;64;194
154;64;193
155;65;192
156;65;191
157;65;190
158;65;189
159;65;188
160;65;187
161;65;186
162;65;185
163;58;230
164;58;231
165;58;232
166;58;233
167;58;218
168;50;215
169;50;216
170;50;43
171;50;47
172;50;50
173;50;48
174;50;49
175;23;217
176;23;35
177;23;218
178;23;209
179;23;219
180;23;220
181;23;221
182;16;234
183;16;204
184;16;235
185;16;236
186;16;201
187;16;237
188;16;238
189;66;222
190;66;223
191;66;224
192;66;225
193;66;226
194;66;202
195;66;227
196;66;228
197;58;229
198;67;248
199;67;194
200;67;199
201;67;196
202;67;195
203;67;249
204;67;197
205;67;250
206;31;208
207;31;37
208;31;36
209;31;38
210;31;246
211;31;247
212;68;239
213;68;240
214;68;241
215;68;242
216;68;243
217;68;244
218;68;212
219;68;245
220;54;287
221;54;288
222;54;289
223;54;290
224;54;291
225;54;292
226;54;293
227;69;275
228;69;37
229;69;276
230;69;277
231;69;278
232;69;271
233;69;279
234;69;280
235;70;249
236;70;259
237;70;260
238;70;261
239;70;262
240;70;199
241;70;200
242;70;263
243;53;256
244;53;257
245;53;247
246;53;246
247;53;220
248;53;258
249;71;264
250;71;265
251;71;266
252;34;50
253;71;215
254;71;267
255;71;268
256;72;242
257;72;269
258;72;221
259;72;270
260;72;271
261;72;272
262;72;273
263;72;274
264;73;251
265;73;240
266;73;245
267;73;252
268;73;242
269;73;253
270;73;254
271;73;255
272;74;294
273;74;295
274;74;296
275;74;290
276;74;297
277;74;288
278;74;298
279;74;292
280;75;281
281;75;278
282;75;279
283;75;282
284;75;283
285;75;284
286;75;285
287;75;286
288;76;217
289;77;217
290;78;217
291;79;217
292;80;217
293;81;217
294;82;217
295;83;217
296;84;217
297;85;217
298;86;217
299;15;217
300;12;217
301;87;2
302;88;325
303;88;19
304;89;34
305;90;332
306;90;5
307;90;12
308;90;20
309;91;7
310;92;19
311;93;34
312;93;313
313;93;316
314;93;236
315;93;312
316;93;317
317;93;319
318;93;234
319;94;313
320;94;335
321;94;334
322;94;333
323;94;337
324;94;336
325;94;44
326;94;47
327;94;43
328;94;48
329;94;215
330;94;216
331;94;317
332;94;49
333;94;338
334;95;332
335;96;1
336;96;27
337;95;31
338;95;23
339;97;339
340;97;14
341;97;28
342;97;22
343;98;34
344;99;31
345;100;14
346;100;18
347;100;339
348;100;22
349;101;5
350;102;19
351;103;11
352;103;325
353;99;23
354;104;5
355;105;19
356;106;11
357;107;14
358;107;22
359;108;33
360;109;27
361;109;1
362;109;29
363;109;346
364;110;14
365;110;299
366;110;217
367;110;218
368;110;35
369;110;340
370;110;219
371;111;33
372;110;347
373;112;5
374;112;34
375;113;23
376;113;31
377;114;19
378;115;5
379;115;32
380;115;30
381;115;12
382;116;5
383;116;34
384;117;23
385;118;14
386;119;5
387;119;32
388;119;30
389;119;12
390;120;22
391;121;22
392;122;14
393;122;18
394;122;15
395;122;34
396;122;44
397;122;299
398;122;232
399;122;301
400;122;348
401;122;233
402;122;229
403;122;35
404;122;302
405;122;300
406;123;23
407;123;33
408;123;19
409;123;22
410;124;18
411;124;14
412;124;299
413;124;232
414;124;302
415;124;301
416;124;233
417;124;34
418;124;15
419;124;44
420;124;229
421;124;230
422;125;18
423;125;313
424;125;317
425;125;44
