id;nom;prenom;anneeDeNaissance;sexe;nationalite;club;status
329;PICKREM;Sydney;19970521;f;CAN;;
330;OHASHI;Yui;19951018;f;JPN;;
331;FLICKINGER;Hali;19940707;f;USA;;
332;GASTALDELLO;Beryl;19950216;f;FRA;;
333;OLEKSIAK;Penny;20000613;f;CAN;;
334;SANCHEZ;Kayla;20010407;f;CAN;;
335;CAMPBELL;Cate;19920520;f;AUS;;
336;WEITZEIL;Abbey;19961203;f;USA;;
337;BROWN;Erika;19980827;f;USA;;
338;WU;Qingfeng;20030128;f;CHN;;
339;MIGNON;ClÇment;20130315;m;;;
340;CHALMERS;Kyle;19980625;m;AUS;;
341;APPLE;Zach;19970423;m;USA;;
342;LIENDO EDWARDS;Joshua;20020820;m;CAN;;
343;SPAJARI;Pedro;19970218;m;BRA;;
344;KISIL;Yuri;19950918;m;CAN;;
345;SANTOS;Gabriel;19960504;m;BRA;;
346;SALVAN;Hadrien;20130315;m;;;
347;HWANG;Sunwoo;20030521;m;KOR;;
348;BUKHOV;Vladyslav;20020705;m;UKR;;
349;ACERENZA;Domenico;19950119;m;ITA;;
350;AI;Yanhan;20020207;f;CHN;;
351;ANDRUSENKO;Veronika;19910120;f;RUS;;
352;ARMSTRONG;Joseph;20010124;m;USA;;
353;AUBOECK;Felix;19961219;m;AUT;;
354;BACON;Phoebe;20020812;f;USA;;
355;BALLO;Stefano;19930218;m;ITA;;
356;BARNA;Andrej;19980306;m;SRB;;
357;BECKER;Bowen;19970707;m;USA;;
358;BENTZ;Gunnar;19960103;m;USA;;
359;BOHUS;Richard;19930409;m;HUN;;
360;BRUHN;Annika;19921005;f;GER;;
361;BURIAN;Katalin;19950117;f;HUN;;
362;BUSCH;Kim;19980616;f;NED;;
363;CAMPBELL;Bronte;19940514;f;AUS;;
364;CARRARO;Martina;19930621;f;ITA;;
365;CHENG;Yujie;20050922;f;CHN;;
366;CHIERIGHINI;Marcelo;19910115;m;BRA;;
367;CHIKUNOVA;Evgeniia;20041117;f;RUS;;
368;CHMIELEWSKI;Krzysztof;20040608;m;POL;;
369;CHRISTIANSEN;Henrik;19961009;m;NOR;;
370;CIAMPI;Matteo;19961103;m;ITA;;
371;COHEN GROUMI;Gal;20020422;m;ISR;;
