analyses.id;nageurs.id;prenom;nageurs.nom;sexe;anneeDeNaissance;nationalite;club;dateCourse;competitions.nom;distances.libelle;styles.libelle;rounds.libelle;tpsDebutCourse;tpsFinal;tpsReaction;tpsDecollagePieds;tpsVol;couloir
3;152;Clara;LE BRIS;f;20030101;FRA;CN BREST;20210205;GFT 2021 NICE;50;Nage Libre;Series;6,33;26,35;0,6;0,6;0,8;1
4;177;Anouchka;MARTIN;f;19930101;FRA;CN MARSEILLE;20210205;GFT 2021 NICE;50;Nage Libre;Series;6,33;25,8;0,6;0,6;0,91;3
5;30;Charlotte;BONNET;f;19950101;FRA;OLYMPIC NICE NATATION;20210205;GFT 2021 NICE;50;Nage Libre;Series;6,34;25,29;0,6;0,6;0,85;4
7;124;Mélanie;HENIQUE;f;19920101;FRA;CN MARSEILLE;20210205;GFT 2021 NICE;50;Nage Libre;Series;8,47;25,27;0,6;0,6;0,95;4
6;197;Lison;NOWACZYK;f;20030101;FRA;STADE BÉTHUNE PÉLICAN CLUB;20210205;GFT 2021 NICE;50;Nage Libre;Series;8,55;25,77;0,6;0,6;0,79;3
8;2;Carl;AITKACI;m;20010101;FRA;HAUTS-DE-SEINE;20210205;GFT 2021 NICE;50;Brasse;Series;11,07;28,74;0,6;0,6;0,96;4
9;167;Melvin;MAILLOT;m;19920101;FRA;HAUTS-DE-SEINE;20210205;GFT 2021 NICE;50;Brasse;Series;11,05;29,07;0,6;0,6;0,98;3
10;44;Theo;BUSSIERE;m;19950101;FRA;CN MARSEILLE;20210205;GFT 2021 NICE;50;Brasse;Series;2,38;28,25;0,6;0,6;0,94;4
11;46;Thibaut;CAPITAINE;m;19930101;FRA;CERGY PONTOISE NATATION;20210205;GFT 2021 NICE;50;Brasse;Series;2,4;29,44;0,6;0,6;0,95;5
12;263;Antoine;VIQUERAT;m;19980101;FRA;DAUPHINS TOULOUSE OEC;20210205;GFT 2021 NICE;50;Brasse;Series;8,64;28,6;0,6;0,6;0,98;4
13;254;Julien;VALOUR;m;20010101;FRA;CN MARSEILLE;20210205;GFT 2021 NICE;50;Brasse;Series;8,65;28,8;0,6;0,6;0,92;5
20;68;Justine;DELMAS;f;20050101;FRA;CNO ST-GERMAIN-EN-LAYE;20210205;GFT 2021 NICE;50;Brasse;Series;7,16;32,12;0,6;0,6;0,78;3
19;66;Fanny;DEBERGHES;f;19940101;FRA;AAS SARCELLES NATATION 95;20210205;GFT 2021 NICE;50;Brasse;Series;7,13;32,63;0,6;0,6;0,94;5
21;92;Meghan;FROUIN;f;20010101;FRA;HAUTS-DE-SEINE;20210205;GFT 2021 NICE;50;Brasse;Series;10,4;32,61;0,6;0,6;0,97;2
22;79;Cyrielle;DUHAMEL;f;20000101;FRA;STADE BÉTHUNE PÉLICAN CLUB;20210205;GFT 2021 NICE;50;Brasse;Series;10,41;32,43;0,6;0,6;0,89;3
214;231;Marcus;SAINTON;m;20020101;FRA;AS MONACO NATATION;20210205;GFT 2021 NICE;50;Brasse;Series;8,62;29;0,6;0,6;0,97;6
14;113;Maxime;GROUSSET;m;19990101;FRA;AMIENS METROPOLE NAT.;20210205;GFT 2021 NICE;50;Papillon;Series;10,28;23,31;0,6;0,6;0,91;4
15;59;Sergueï;COMTE;m;20000101;FRA;RC BRON DÉCINES NATATION;20210205;GFT 2021 NICE;50;Papillon;Series;8,68;24,35;0,6;0,6;0,99;5
18;109;Meven;GRANDJEAN;m;20000101;FRA;OLYMPIC NICE NATATION;20210205;GFT 2021 NICE;50;Papillon;Series;8,27;24,54;0,6;0,6;0,87;2
17;215;Thomas;PIRON;m;20000101;FRA;LYON NATATION METROPOLE;20210205;GFT 2021 NICE;50;Papillon;Series;8,25;24,45;0,6;0,6;0,9;6
16;21;Julien;BEROL;m;20010101;FRA;CN MARSEILLE;20210205;GFT 2021 NICE;50;Papillon;Series;8,62;24,38;0,6;0,6;0,96;7
23;269;Léon;MARCHAND;m;20020101;FRA;DAUPHINS TOULOUSE OEC;20210205;GFT 2021 NICE;400;4 Nages;Series;7,65;260,34;0,6;0,6;0,92;5
258;248;Camille;TISSANDIE;f;20040101;FRA;CASTRES SPORTS NAUTIQUES;20210205;GFT 2021 NICE;400;4 Nages;Series;5,49;297,11;0,6;0,6;0,9;5
369;203;Krystyna;PANCHISHKO;f;19980101;UKR;UKRAINE;20210205;GFT 2021 NICE;400;4 Nages;Series;5,52;299,5;0,6;0,6;0,91;7
368;15;Lou-Anne;BARNIET;f;20020101;FRA;SAINT-RAPHAEL NATATION;20210205;GFT 2021 NICE;400;4 Nages;Series;1,14;303,92;0,6;0,6;0,81;7
157;166;Pauline;MAHIEU;f;19990101;FRA;CANET 66 NATATION;20210205;GFT 2021 NICE;100;Dos;Finale;8,17;62,89;0,5;0,5;0,56;2
159;57;Mathilde;CINI;f;19940101;FRA;VALENCE TRIATHLON;20210205;GFT 2021 NICE;100;Dos;Finale;8,13;62,06;0,5;0,5;0,66;4
151;270;Yohann;NDOYE BROUARD;m;20000101;FRA;DAUPHINS D'ANNECY;20210205;GFT 2021 NICE;100;Dos;Finale;8,57;53,6;0,5;0,5;0,59;4
148;19;Paul-Gabriel;BEDEL;m;19940101;FRA;CN MARSEILLE;20210205;GFT 2021 NICE;100;Dos;Finale;8,57;56,05;0,5;0,5;0,72;1
149;200;Maxence;ORANGE;m;19980101;FRA;NANTES NATATION;20210205;GFT 2021 NICE;100;Dos;Finale;8,61;54,47;0,5;0,5;0,66;2
150;55;Apostolos;CHRISTOU;m;19960101;GRE;GRÈCE;20210205;GFT 2021 NICE;100;Dos;Finale;8,58;53,99;0,5;0,5;0,63;3
156;82;Anna;EGOROVA;f;19980101;RUS;HAUTS-DE-SEINE;20210205;GFT 2021 NICE;100;Dos;Finale;8,13;62,72;0,5;0,5;0,56;1
158;77;Theodora;DRAKOU;f;19920101;GRE;GRÈCE;20210205;GFT 2021 NICE;100;Dos;Finale;8,08;62,85;0,5;0,5;0,64;3
140;271;Lucie;DELMAS;f;20050101;FRA;CNO ST-GERMAIN-EN-LAYE;20210205;GFT 2021 NICE;100;Papillon;Finale;8,6;61,08;0,6;0,6;0,89;1
142;48;Oceane;CARNEZ;f;20020101;FRA;STADE BÉTHUNE PÉLICAN CLUB;20210205;GFT 2021 NICE;100;Papillon;Finale;8,48;61,66;0,6;0,6;0,81;3
143;225;Lilou;RESSENCOURT;f;20030101;FRA;OLYMPIC NICE NATATION;20210205;GFT 2021 NICE;100;Papillon;Finale;8,48;59,96;0,6;0,6;0,94;4
141;210;Aurora;PETRONIO;f;19980101;ITA;RARI NANTES TORINO;20210205;GFT 2021 NICE;100;Papillon;Finale;8,44;61,76;0,6;0,6;0,91;2
25;137;Marina;JEHL;f;20010101;FRA;CANET 66 NATATION;20210204;GFT 2021 NICE;100;Papillon;Finale;12,18;62,23;0,6;0,6;0,99;7
