id;idAnalyse;distanceDebut;tpsFinCoulee;tpsFinPremierMvt;nbCycles;tpsFinDernierMvt;distanceFin;tpsPassage
1847;612;0;5.9;-1;0;24.79;50;25.95
1848;612;50;32.03;-1;0;52.78;100;53.21
1849;622;0;6.08;-1;0;27.56;50;28.31
1850;623;0;5.7;-1;0;28.08;50;28.45
1851;624;0;5.55;-1;0;28.01;50;28.51
1852;619;0;5.84;-1;0;30.95;50;31.89
1853;621;0;6.09;-1;0;31.06;50;31.92
1854;620;0;5.63;-1;0;31.74;50;32.08
1855;626;0;4.82;-1;0;21.72;50;21.87
1856;627;0;4.82;-1;0;22.18;50;22.51
1857;628;0;4.34;-1;0;22.5;50;22.66
1858;625;0;4.88;-1;0;22.24;50;22.42
1859;658;0;5.67;-1;0;27.38;50;27.93
1860;659;0;6.28;-1;0;27.41;50;28.3
1861;660;0;6.01;-1;0;27.12;50;27.9
1862;661;0;5.96;-1;0;26.08;50;27.45
1863;662;0;5.82;-1;0;26.93;50;27.37
1864;663;0;6.16;-1;0;27.15;50;28.27
1865;664;0;4.92;-1;0;27.36;50;28.39
1866;665;0;5.79;-1;0;27.41;50;28.32
1867;650;0;5.78;-1;0;31.34;50;32.13
1868;651;0;6.28;-1;0;30.82;50;31.52
1869;652;0;5.79;-1;0;31.04;50;31.89
1870;653;0;6.04;-1;0;30.01;50;30.9
1871;654;0;6;-1;0;30.8;50;31.69
1872;655;0;5.89;-1;0;31.56;50;32.42
1873;656;0;5.78;-1;0;31.62;50;31.91
1874;657;0;5.97;-1;0;31.71;50;32.23
1875;666;0;4.24;-1;0;22.32;50;22.72
1876;667;0;4.5;-1;0;22;50;22.41
1877;668;0;4.43;-1;0;22.08;50;22.44
1878;669;0;4.68;-1;0;21.44;50;21.72
1879;670;0;5.03;-1;0;21.83;50;22.23
1880;671;0;4.51;-1;0;22.06;50;22.43
1881;672;0;5.35;-1;0;21.91;50;22.75
1882;673;0;5.49;-1;0;22.52;50;22.59
1883;674;0;6.41;-1;0;26.52;50;27.16
1884;675;0;-1;-1;0;-1;50;26.56
1885;676;0;-1;-1;0;-1;50;26.23
1886;677;0;-1;-1;0;-1;50;25.47
1887;678;0;5.5;-1;0;25.24;50;25.59
1888;679;0;5.61;-1;0;26.27;50;26.36
1889;680;0;6.74;-1;0;26.84;50;27.06
1890;681;0;6.12;-1;0;27.44;50;27.6
1891;682;0;6.22;-1;0;24.63;50;24.7
1892;682;50;32.85;-1;0;53.37;100;53.41
1893;683;0;5.71;-1;0;24.26;50;25.06
1894;683;50;31.07;-1;0;53.41;100;53.53
1895;684;0;6.17;-1;0;24.63;50;24.69
1896;684;50;32.94;-1;0;52;100;52.02
1897;685;0;5.52;-1;0;24.8;50;24.91
1898;685;50;31.98;-1;0;51.48;100;51.89
1899;686;0;5.57;-1;0;24.01;50;24.2
1900;686;50;30.28;-1;0;52.9;100;52.93
1901;687;0;6;-1;0;24.46;50;24.48
1902;687;50;30.67;-1;0;52.6;100;52.92
1903;688;0;5.73;-1;0;24.01;50;24.82
1904;688;50;30.24;-1;0;52.89;100;53.74
1905;689;0;5.54;-1;0;24.36;50;25.14
1906;689;50;30.56;-1;0;53.04;100;53.56
1907;634;0;7.2;-1;0;27.96;50;29.69
1908;634;50;34.45;-1;0;61.86;100;62.47
1909;635;0;6.9;-1;0;29.08;50;30.07
1910;635;50;36.17;-1;0;61.48;100;62.15
1911;636;0;6.68;-1;0;28.12;50;29.66
1912;636;50;36.47;-1;0;60.84;100;61.56
1913;637;0;6.56;-1;0;27.7;50;28.77
1914;637;50;35.9;-1;0;59.52;100;59.84
1915;638;0;7.46;-1;0;28.46;50;29.74
1916;638;50;37.01;-1;0;60.12;100;61.05
1917;639;0;7.07;-1;0;28.27;50;29.71
1918;639;50;35.22;-1;0;60.07;100;61.01
1919;640;0;7.06;-1;0;28.88;50;30.23
1920;640;50;35.08;-1;0;61.48;100;61.81
1921;641;0;7.48;-1;0;28.84;50;30.03
1922;641;50;36.27;-1;0;62.78;100;63.51
1923;642;0;6.5;-1;0;25.74;50;27.06
1924;642;50;32.93;-1;0;54.89;100;55.46
1925;643;0;6.54;-1;0;25.14;50;26.35
1926;643;50;33.12;-1;0;54.05;100;54.6
1927;644;0;6.02;-1;0;25.25;50;26.6
1928;644;50;31.22;-1;0;53.78;100;54.33
1929;645;0;6.14;-1;0;25.01;50;26.04
1930;645;50;32.1;-1;0;53.06;100;53.19
1931;646;0;5.78;-1;0;24.48;50;25.79
1932;646;50;31.89;-1;0;52.46;100;52.97
1933;647;0;-1;-1;0;-1;50;26.28
1934;647;50;-1;-1;0;-1;100;54.17
1935;648;0;6.33;-1;0;25.42;50;26.63
1936;648;50;31.82;-1;0;54.01;100;54.52
1937;649;0;6.04;-1;0;24.61;50;26.01
1938;649;50;31.88;-1;0;53.06;100;53.71
1939;694;0;5.89;-1;0;25.13;50;25.83
1940;694;50;30.06;-1;0;55.88;100;56.36
1941;694;100;61.37;-1;0;92.54;150;94.06
1942;694;150;97.36;-1;0;124.65;200;125.2
1943;695;0;-1;-1;0;-1;50;25.82
1944;695;50;-1;-1;0;-1;100;56.94
1945;695;100;-1;-1;0;-1;150;91.42
1946;695;150;-1;-1;0;-1;200;121
1947;696;0;5.63;-1;0;25.14;50;26.04
1948;696;50;32.57;-1;0;55.72;100;56.38
1949;696;100;61.43;-1;0;89.42;150;90.41
1950;696;150;96.38;-1;0;118.54;200;118.97
1951;697;0;-1;-1;0;-1;50;25.26
1952;697;50;-1;-1;0;-1;100;54.87
1953;697;100;-1;-1;0;-1;150;89.02
1954;697;150;-1;-1;0;-1;200;117.5
1955;690;0;5.59;-1;0;25.9;50;25.97
1956;690;50;31.25;-1;0;56.82;100;57.08
1957;690;100;62.33;-1;0;90.7;150;91.51
1958;690;150;95.61;-1;0;119.78;200;119.83
1959;691;0;-1;-1;0;-1;50;24.71
1960;691;50;-1;-1;0;-1;100;56.21
1961;691;100;-1;-1;0;-1;150;92.78
1962;691;150;-1;-1;0;-1;200;122.07
1963;692;0;5.8;-1;0;26.11;50;26.75
1964;692;50;32.47;-1;0;57.58;100;57.95
1965;692;100;63.24;-1;0;93.74;150;94.72
1966;692;150;99.16;-1;0;124.11;200;124.15
1967;693;0;5.77;-1;0;25.89;50;26.35
1968;693;50;32.71;-1;0;58.35;100;58.63
1969;693;100;64.92;-1;0;93.88;150;94.57
1970;693;150;98.21;-1;0;123.47;200;123.97
1971;698;0;5.51;-1;0;23.17;50;23.43
1972;699;0;4.6;-1;0;23.56;50;23.85
1973;750;0;5.2;-1;0;24.06;50;24.12
1974;751;0;5.3;-1;0;23.17;50;23.93
1975;753;0;-1;-1;0;-1;50;23.39
1976;752;0;-1;-1;0;-1;50;23.55
1977;754;0;5.19;-1;0;23.47;50;23.54
1978;755;0;4.69;-1;0;22.74;50;23.52
1979;756;0;6.32;-1;0;24.02;50;24.05
1980;757;0;5.34;-1;0;23.92;50;24.07
1981;742;0;6.25;-1;0;28.12;50;28.73
1982;743;0;7.46;-1;0;28.02;50;28.73
1983;744;0;6.58;-1;0;27.61;50;28.37
1984;745;0;6.59;-1;0;27.53;50;27.87
1985;746;0;6.8;-1;0;27.48;50;28.12
1986;747;0;6.92;-1;0;27.96;50;28.6
1987;748;0;6.88;-1;0;28.91;50;28.97
1988;749;0;7.52;-1;0;28.38;50;29.24
1989;711;0;6;-1;0;29.91;50;30.41
1990;711;50;36.06;-1;0;66.15;100;66.57
1991;711;100;73.2;-1;0;107.59;150;108.68
1992;711;150;112.29;-1;0;140.66;200;141.06
1993;712;0;-1;-1;0;-1;50;29.72
1994;712;50;-1;-1;0;-1;100;67.37
1995;712;100;-1;-1;0;-1;150;106.52
1996;712;150;-1;-1;0;-1;200;139.82
1997;713;0;-1;-1;0;-1;50;29.59
1998;713;50;-1;-1;0;-1;100;66.17
1999;713;100;-1;-1;0;-1;150;106.42
2000;713;150;-1;-1;0;-1;200;137.8
2001;714;0;4.9;-1;0;27.8;50;28.52
2002;714;50;33.25;-1;0;61.78;100;62.71
2003;714;100;68.14;-1;0;100.41;150;101
2004;714;150;104.56;-1;0;132.9;200;133.52
2005;715;0;-1;-1;0;-1;50;29.07
2006;715;50;-1;-1;0;-1;100;65.21
2007;715;100;-1;-1;0;-1;150;103.07
2008;715;150;-1;-1;0;-1;200;135.77
2009;716;0;6.39;-1;0;29.13;50;29.26
2010;716;50;33.75;-1;0;63.95;100;64.36
2011;716;100;68.96;-1;0;104.25;150;105.37
2012;716;150;108.65;-1;0;136.13;200;136.32
2013;717;0;-1;-1;0;-1;50;30.26
2014;717;50;-1;-1;0;-1;100;65.72
2015;717;100;-1;-1;0;-1;150;106.26
2016;717;150;-1;-1;0;-1;200;139.7
2017;718;0;5.76;-1;0;29.87;50;30.15
2018;718;50;36.33;-1;0;67.05;100;67.55
2019;718;100;74.19;-1;0;108.16;150;109.38
2020;718;150;113.15;-1;0;142.65;200;142.99
2021;758;0;-1;-1;0;-1;50;25.85
2022;758;50;-1;-1;0;-1;100;53.6
2023;758;100;-1;-1;0;-1;150;81.39
2024;758;150;-1;-1;0;-1;200;108.9
2025;759;0;-1;-1;0;-1;50;25.44
2026;759;50;-1;-1;0;-1;100;53.19
2027;759;100;-1;-1;0;-1;150;81.23
2028;759;150;-1;-1;0;-1;200;108.69
2029;760;0;5.68;-1;0;24.03;50;25.27
2030;760;50;29.91;-1;0;50.49;100;52.13
